key,Category,en,es
art_beamattack_desc,Ability,Fire a beam of lightning dealing Magic Damage to Enemies in a 4 Tile long line. Enemies at the furthest point take more damage than closer enemies.,
art_cleave,Ability,Great Cleave,
art_cleave_desc,Ability,This Unit takes a huge swing at a large area in front of them dealing damage equal to their {DMG_AGRESSIVESTAT}. \nUnits on the far edge take more damage.,
art_darkfell,Ability,Soul Cleave,
art_darkfell_desc,Ability,Deal Physical Damage to nearby Enemies based on {DMG_AGRESSIVESTAT}. Reduce their Defense and Special Defense by ({EFFECT_FLAT} + {EFFECT_DERIVEDSTAT}) * {EFFECT_PERC},
art_doubleshot,Ability,Repeater,
art_doubleshot_desc,Ability,Fire two shots at a Target in quick succession dealing damage based on {DMG_AGRESSIVESTAT},
art_drain,Ability,Life Drain,
art_drain_desc,Ability,"Drain a Target Unit of their life force, dealing damage equal to this Units {DMG_AGRESSIVESTAT}, and healing for {DMG_DRAINPERC}% the damage dealt",
art_fireball,Ability,Fireball,
art_fireball_desc,Ability,Shoot a Fireball at a location dealing AOE damage equal to their {DMG_AGRESSIVESTAT}. \nThis Ability hits a wider area at Level 5,
art_heal,Ability,Heal,
art_heal_desc,Ability,Heal an Ally Unit equal to this Units {HEAL_STAT},
art_heroicleap,Ability,Heroic Leap,
art_heroicleap_desc,Ability,"Leap into an area, dealing Physical Damage to nearby Enemies. Gain a Shield equal to {SHIELD_MOD}% of your max Health",
art_lesserheal,Ability,Lesser Heal,
art_lesserheal_desc,Ability,Heal an Ally Unit for {HEAL_FLAT} Health,
art_smite,Ability,Smite,
art_smite_desc,Ability,Deal Magic damage equal to {DMG_AGRESSIVESTAT}.  \nDeals double damage to {DMG_VULNERABLE_DESC_0} Enemies.,
art_snareshot,Ability,Snare Shot,
art_snareshot_desc,Ability,Deal Physical damage based on {DMG_AGRESSIVESTAT} to an Enemy and Stun them. Move backwards up to Two Tiles,
ui_empty,UI,Empty,
